univ_rank,univ_name,city,degree_detail,program_name,program_detail,program_length,application_fee_usd,terms_start,deadline,gpa_req,toefl_req,ielts_req,gre_req,gmat_req,academic_background,material_requirements,admission_url,program_url,more_info,course_url,interview,application_fee_waiver,department,department_url,recommendation_letters,ets_code,tags,professional_program,grad_requirement
3,Harvard University,"Cambridge, MA",MS,Data Science SEAS,"This program focuses on topics such as reproducible data analysis, collaborative problem-solving, visualization and communication, and security and ethical issues arising in data science.",3 semesters,105,Fall,12-01,,80,6.5,Not required,Not accepted,"Students with a bachelor's degree in natural sciences, mathematics, or engineering can apply for admission",The statement of purpose;C.V. or Resume;Three letters of recommendation; transcripts,https://seas.harvard.edu/masters-data-science/how-apply,https://seas.harvard.edu/masters-data-science,"• Interdisciplinary foundation: Jointly led by Computer Science and Statistics faculties.
• Core competencies: Strong preparation in statistical modeling, machine learning, and big data analysis.
• Practical skill development: Focus on reproducible analysis, visualization, and ethical data handling.
• Career versatility: Graduates can pursue data science professional or analytics-enabled roles.
• Research opportunity: Option to complete a master's thesis research project.",,Not needed,Applicable,Harvard John A. Paulson School of Engineering and Applied Sciences,https://seas.harvard.edu,3,3451,"Data Science, Computer Science, Statistics, Mathematics, Interdisciplinary",Professional,"A capstone project or a master's thesis, and a project poster presentation are required."
3,Harvard University,"Cambridge, MA",MS,Data Science,,,100,Summer,,3,100,7,No requirement,No requirement,"Part-time online master's program, but F1 visas can be obtained through the summer school program https://summer.harvard.edu/adult-college-students/course-registration/international-student-registration/",,https://extension.harvard.edu/registration-admissions/degree-program-admissions/how-to-apply-to-a-graduate-degree-program/,https://extension.harvard.edu/academics/programs/data-science-graduate-program/,"• Industry-partnered capstone with real-world data challenges, including collaborations with NASA.
• Robust career support via Harvard's Mignone Center and extensive alumni network.
• Flexible, professional curriculum emphasizing machine learning, AI, and ethical data science.
• Performance-based admission by completing initial degree-counting foundational coursework.
• Entrepreneurial opportunities through Harvard Innovation Labs for new venture development.
More info about deadline. Summer (July 1st - August 1st)",,Not needed,Applicable,Harvard Extension School,https://extension.harvard.edu,no explicit demand,,"Data Science, Machine Learning, Artificial Intelligence, Data Visualization, Interdisciplinary",Professional,Capstone project required.
3,Harvard University,"Cambridge, MA",MS,Data Science,,,100,Fall,,3,100,7,No requirement,No requirement,"Part-time online master's program, but F1 visas can be obtained through the summer school program https://summer.harvard.edu/adult-college-students/course-registration/international-student-registration/",,https://extension.harvard.edu/registration-admissions/degree-program-admissions/how-to-apply-to-a-graduate-degree-program/,https://extension.harvard.edu/academics/programs/data-science-graduate-program/,"• Industry-partnered capstone with real-world data challenges, including collaborations with NASA.
• Robust career support via Harvard's Mignone Center and extensive alumni network.
• Flexible, professional curriculum emphasizing machine learning, AI, and ethical data science.
• Performance-based admission by completing initial degree-counting foundational coursework.
• Entrepreneurial opportunities through Harvard Innovation Labs for new venture development.
More info about deadline. Fall (November 1 - December 1)",,Not needed,Applicable,Harvard Extension School,https://extension.harvard.edu,no explicit demand,,"Data Science, Machine Learning, Artificial Intelligence, Data Visualization, Interdisciplinary",Professional,Capstone project required.
3,Harvard University,"Cambridge, MA",MS,Data Science,,,100,Spring,,3,100,7,No requirement,No requirement,"Part-time online master's program, but F1 visas can be obtained through the summer school program https://summer.harvard.edu/adult-college-students/course-registration/international-student-registration/",,https://extension.harvard.edu/registration-admissions/degree-program-admissions/how-to-apply-to-a-graduate-degree-program/,https://extension.harvard.edu/academics/programs/data-science-graduate-program/,"• Industry-partnered capstone with real-world data challenges, including collaborations with NASA.
• Robust career support via Harvard's Mignone Center and extensive alumni network.
• Flexible, professional curriculum emphasizing machine learning, AI, and ethical data science.
• Performance-based admission by completing initial degree-counting foundational coursework.
• Entrepreneurial opportunities through Harvard Innovation Labs for new venture development.
More info about deadline. Spring (March 15 - April 15)",,Not needed,Applicable,Harvard Extension School,https://extension.harvard.edu,no explicit demand,,"Data Science, Machine Learning, Artificial Intelligence, Data Visualization, Interdisciplinary",Professional,Capstone project required.
3,Stanford University,"Stanford, CA",MS,Data Science,,2 years,125,Fall,01-31,,"89, if below 109, ""English placement testing"" is required after enrollment, 113 recommended",Not accepted,Not required,Not accepted,"A solid foundation in mathematics, including linear algebra, numerical methods, probability, randomness, statistical theory, and programming proficiency in C++ and R.",Statement of Purpose；Letters of Recommendation；Transcripts；,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,"• Four distinct MS tracks: Data Science, Imaging Science, Mathematical & Computational Finance, and General CME.
• Robust curriculum in mathematical modeling, scientific computing, and advanced computational algorithms.
• Prepares students for professional careers or doctoral studies, with a dedicated finance track for industry roles.
• Affiliated faculty provide over 60 courses and conduct groundbreaking research in computational mathematics.
• Honors Cooperative Program offers a part-time study option for working professionals.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG3u7GsoQzYau3f9TqsI60q1kdl27ZIw_YBeft9GoEq-At69vJv7ZFpjpYonwSngS-HdAC6SjAV6dI98DeBvhzUVR7itTIfl-UlXKzriPGf7qfuokxgRRgL2IHSx92yrTqZHdVMkh6Y9CIXOAim8IYRLCxI7oUU5iCNe3OWRJUuPg7oW16RnZ3K9LhNFYBzIxT7l4JghgkHvd0EElr5ckKxGQ1sU37y-z4t,Not needed,Applicable,School of Engineering,https://engineering.stanford.edu,3,4704,"Computational Mathematics, Computational Engineering, Data Science, Statistics, Interdisciplinary",Professional,A capstone project is required as a practical component.
3,Stanford University,"Stanford, CA",MS,Data Science,,,125,Fall,01-15,3.5,"100, if below 109, ""English placement testing"" is required after enrollment",Not accepted,Required,Not accepted,,Statement of Purpose；letters of recommendation；Transcripts；Resume/CV,https://statistics.stanford.edu/msadmissionsms/how-apply,https://statistics.stanford.edu/graduate-programs/statistics-ms/statistics-data-science-curriculum,"• Focused 45-unit curriculum building strong mathematical, statistical, computational, and programming skills in data science.
• Required practical component includes capstone projects, master's research, and consulting workshops for industry experience.
• Opportunities for real-world projects with industry partners and engagement in AI bootcamps (Healthcare, Climate Change).",https://statistics.stanford.edu/graduate-programs/statistics-ms/statistics-data-science-curriculum,Required,Applicable,School of Humanities and Sciences,https://humsci.stanford.edu/,3,4704,"Statistics, Data Science, Mathematics, Computer Science, Interdisciplinary",Professional,PARSE_ERROR_RETRY_2: 'NoneType' object is not subscriptable
3,Yale University,"New Haven, CT",MS,Statistics and Data Science,,,105,Fall,12-01,,Requirement,Required,Optional; Math subject test optional,Not accepted,,"letters of recommendation,  transcripts，A personal statement of purpose",https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/terminal-ma-program,"• Comprehensive Curriculum: Broad training in statistical theory, probability, machine learning, data analysis, and statistical computing.
• Flexible Program Choice: Options for an 8-course M.A. or a new 12-course M.S., with inter-program transferability.
• Strong Career Outcomes: Graduates secure excellent positions in industry and government, with placements at firms like McKinsey and Facebook.",,Not needed,Applicable,Graduate School of Arts and Sciences,https://gsas.yale.edu,no explicit demand,3987,"Statistics, Data Science, Machine Learning, Probability Theory, Interdisciplinary",Professional,No additional graduation requirement
3,Yale University,"New Haven, CT",PH.D.,Statistics and Data Science,"Research areas include major areas of statistical theory (with a focus on foundations, Bayesian theory, decision theory, and nonparametric statistics), probability theory (stochastic processes, asymptotics, weak convergence), information theory, bioinformatics and genetics, classification, data mining and machine learning, neural networks, network science, optimization, statistical computing, and graphical models and methods.",,105,Fall,12-15,,"Requirement, if speaking score is below 25, pre-course language classes are required","Required, speaking below 7.5 requires pre-sessional language training",Optional; Math subject test optional,Not accepted,"All applicants should have a strong mathematical background, including advanced calculus, linear algebra, elementary probability theory, and at least one course providing an introduction to mathematical statistics. An undergraduate major may be in statistics, mathematics, computer science, or in a subject in which significant statistical problems may arise.","letters of recommendation,  transcripts，A personal statement of purpose",https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/phd-program,"• Core research areas: statistical theory, probability, machine learning, bioinformatics, and network science.
• Interdisciplinary Ph.D. pathway available, including a combined program with Political Science.
• Full financial support: twelve-month stipend, complete tuition coverage, and student healthcare for Ph.D. students.
• Graduates secure strong positions across universities, industry, and government sectors.",,Optional,Unknown,Graduate School of Arts and Sciences,https://gsas.yale.edu,3,3987,"Statistics, Data Science, Probability Theory, Machine Learning, Interdisciplinary",Professional,"Qualifying exams, practical work resulting in a project/paper, and a dissertation are required."
6,University of Pennsylvania,"Philadelphia, PA",PHD,Statistics and Data Science,Observational study analysis; Bayesian inference; Bioinformatics; Computational biology; Decision theory; Game theory; Genomics; High-dimensional inference; Information theory; Machine learning; Model selection; Nonparametric function estimation; and Time series analysis.,,80,Fall,12-15,,"Requirement, previous average score 107, Reading: 29, Listening: 28, Speaking: 23, Writing: 26",Not accepted,"Required, past admitted average scores V159+Q165+4.0",Not accepted,"Strong undergraduate mathematical background. Requires knowledge of linear algebra and advanced calculus, and experience with real analysis.",Personal Statement；essay；recommendations；transcripts,https://doctoral.wharton.upenn.edu/application-requirements/,https://doctoral.wharton.upenn.edu/statistics/,"• Research spans observational studies, Bayesian inference, bioinformatics, machine learning, and time series analysis.
• Interdisciplinary engagement with finance, marketing, public policy, biostatistics, and computer science fields.
• Graduates secure positions in academia, government, financial services, and bio-pharmaceutical industries.",,Optional,Unknown,The Wharton School,https://www.wharton.upenn.edu,3,,"Statistics, Data Science, Interdisciplinary, Mathematics, Computer Science",Professional,"Qualifying evaluation, candidacy examination, and dissertation defense are required."
6,University of Pennsylvania,"Philadelphia, PA",MSE,Data Science,,1.5-2 years,90,Fall,11-01,,Recommended 100,Recommended 7.5,"Optional, but encouraged to submit",Not accepted,Strong mathematical and statistical proficiency and some programming experience.,Biographical information;Resume;Personal Statement;Letters of Recommendation;Transcript,https://gradadm.seas.upenn.edu/how-to-apply/,https://dats.seas.upenn.edu/,"• Comprehensive curriculum: blends machine learning, big data analytics, and statistics with domain specialization options.
• Interdisciplinary focus: strong cross-disciplinary traditions, supported by centers like Warren Center and Price Lab.
• Experiential learning: offers a practicum or thesis in a chosen data science application area for hands-on experience.
• Diverse career preparation: equips students for data-centric roles in technology, consulting, science, and policy-making.
• Robust community engagement: active student groups and involvement in events like the Women in Data Science conference.

- Additional deadlines: 2月3日",,Not needed,Applicable,School of Engineering and Applied Science,https://www.seas.upenn.edu/,2,,"Data Science, Machine Learning, Big Data Analytics, Statistics, Interdisciplinary",Professional,Practicum or thesis with a report and presentation required.
7,Duke University,"Durham, NC",MS,Electrical and Computer Engineering-Machine Learning & Big Data,,1.5-2 years,95,Fall,01-16,,90,7,Optional,Not accepted,,Transcripts；Letters of recommendation；Statement of purpose；Resume,https://gradschool.duke.edu/academics/programs-degrees/electrical-and-computer-engineering-ms/,https://ece.duke.edu/academics/masters/ms/,"• Flexible curriculum: coursework-only, project, or thesis options for degree completion.
• Machine Learning & Big Data specialization: core focus within broad ECE research themes.
• Interdisciplinary research opportunities: connections across engineering, computer science, natural sciences, and medical school.
• Professional development: internships and teaching assistantships available.
- Additional deadlines: 2月27日",,Required,Applicable,Pratt School of Engineering,https://pratt.duke.edu,3,5156,"Electrical Engineering, Computer Engineering, Interdisciplinary, Machine Learning & Big Data, Quantum Computing",Professional,"Students can choose from a final exam, a project with a written report and oral presentation, or a thesis with a written thesis and oral defense."
