排名,大学名称,大学英文名称,所在城市,专业中文名称,专业英文名称,所属院系,所属院系（英文）,所属院系网址,学位,专业领域,课程长度,申请费（美元),开学期,截止日期,GPA,托福,雅思,GRE,GMAT,学术背景,材料要求,招生网址,专业网址
2,麻省理工学院,Massachusetts Institute of Technology,"Cambridge, MA",土木与环境工程：工程系统数据科学 （DSES） ,Civil and Environmental Engineering：Data Science for Engineering Systems (DSES) track,土木与环境工程系,Department of Civil and Environmental Engineering,https://cee.mit.edu,Meng,选择两个重点领域：可持续性的计算建模和设计或弹性基础设施系统和服务。,,$90 ,秋季,12月1日,要求,100,首选，7.5,不要求,不接受,,Statement of objectives；Three letters of recommendation；Transcripts；CV or Resume；Abstracts of published articles or conference presentations (optional),https://oge.mit.edu/programs/civil-and-environmental-engineering/,https://cee.mit.edu/education/graduate/graduate-degrees/
2,麻省理工学院,Massachusetts Institute of Technology,"Cambridge, MA",社会和工程系统,Social and Engineering Systems," 
数据，系统和社会研究所",MIT Schwarzman College of Computing,https://computing.mit.edu,PhD,通过结合分析工具和统计数据和信息科学与工程和社会科学的工具和方法的方法解决具体和societally显著的问题。重点是社会技术系统、自治系统、能源系统、金融、社会网络和城市系统等领域,,$90 ,秋季," 
12月15日",要求,不接受,7.5,不要求,不接受,具有工程或应用数学背景；具有社会科学背景的学生 - 特别是具有定量分析背景的学生,Statement of objectives；Three letters of recommendation；Transcripts；CV,https://oge.mit.edu/programs/institute-for-data-systems-and-society/,https://idss.mit.edu/academics/ses_doc/
2,麻省理工学院,Massachusetts Institute of Technology,"Cambridge, MA",数据，经济学与发展政策,"Data, Economics, and Development Policy",经济学系,Department of Economics,https://economics.mit.edu,MAS,,8个月,$90 ,春季,1月13日,要求,100,首选，7.0,不要求,不接受,在线和校园混合课程，首先按照自己的进度成功完成在线MITx MicroMasters证书，然后才能向麻省理工学院申请DEDP硕士课程。国际申请人需要跟学校确认是否可以获取F1签证,Statement of objectives；Three letters of recommendation；Transcripts,https://oge.mit.edu/programs/data-economics-and-development-policy/,https://economics.mit.edu/academic-programs/masters-programs/masters-data-economics-and-design-policy-dedp
3,哈佛大学,Harvard University,"Cambridge, MA",公共政策硕士: 数据和研究方法方向,Master in Public Policy,哈佛大学肯尼迪学院,Harvard Kennedy School,https://www.hks.harvard.edu,MPP,攻读数据和研究方法课程的学生将通过成功完成合格课程中的至少 16 个学分来培养定量分析和研究方法技能。,2年,$100 ,秋季,12月1日,要求,100，小分不低于25 ,7.0，小分不低于7.0 ,要求,要求,"Bachelor’s degree. Regardless of your undergraduate major, we would like to see evidence of quantitative proficiency such as success in undergraduate-level economics, statistics, or calculus courses.Work experience preferred, but not required. ",Essays;C.V. or Resume;Three letters of recommendation; transcripts,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track
3,哈佛大学,Harvard University,"Cambridge, MA",国际发展公共管理硕士: 数据和研究方法方向,Master in Public Administration in International Development,哈佛大学肯尼迪学院,Harvard Kennedy School,https://www.hks.harvard.edu,MPP / ID,攻读数据和研究方法课程的学生将通过成功完成合格课程中的至少 16 个学分来培养定量分析和研究方法技能。,2年,$100 ,秋季,12月1日,要求,100，小分不低于25 ,7.0，小分不低于7.0 ,要求，建议Q160+,要求,"Bachelor’s degree. We do not have a preferred undergraduate major, but we would like to see evidence of quantitative proficiency such as success in undergraduate-level economics, statistics, or calculus courses.Minimum of 2-3 years of professional work experience strongly preferred.",Essays;C.V. or Resume;Three letters of recommendation; transcripts,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track
3,哈佛大学,Harvard University,"Cambridge, MA",公共管理硕士: 数据和研究方法方向,Master in Public Administration,哈佛大学肯尼迪学院,Harvard Kennedy School,https://www.hks.harvard.edu,MPP,攻读数据和研究方法课程的学生将通过成功完成合格课程中的至少 16 个学分来培养定量分析和研究方法技能。,2年,$100 ,秋季,12月1日,要求,100，小分不低于25 ,7.0，小分不低于7.0 ,要求,要求,Bachelor’s degree；Three years of professional work experience by the start of the academic year ,Essays;C.V. or Resume;Three letters of recommendation; transcripts,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track
3,哈佛大学,Harvard University,"Cambridge, MA",职业中期公共管理硕士: 数据和研究方法方向,Mid-Career Master in Public Administration,哈佛大学肯尼迪学院,Harvard Kennedy School,https://www.hks.harvard.edu,MC/MPA,攻读数据和研究方法课程的学生将通过成功完成合格课程中的至少 16 个学分来培养定量分析和研究方法技能。,1年,$100 ,秋季,12月1日,要求,100，小分不低于25 ,7.0，小分不低于7.0 ,可选,可选,Bachelor’s degree；Three years of professional work experience by the start of the academic year ,Essays;C.V. or Resume;Three letters of recommendation; transcripts,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track
3,斯坦福大学,Stanford University,"Stanford, CA",‌教育数据科学,‌Education Data Science,教育学院,Graduate School of Education,https://ed.stanford.edu,PhD,,5年,$125 ,秋季,12月2日,要求,100，低于109入学后需参加“English placement testing‘,不接受,25年不要求，但可提交来增强申请,不接受,,Statement of Purpose；letters of recommendation；Transcripts；Resume/CV,https://ed.stanford.edu/admissions/application-reqs/programs,https://ed.stanford.edu/academics/doctoral
3,斯坦福大学,Stanford University,"Stanford, CA",教育数据科学（MS）,Education Data Science (MS),教育学院,Stanford Graduate School of Education,https://ed.stanford.edu/,MS,,2年,$125 ,秋季,1 月9 日,要求,100，低于109入学后需参加“English placement testing‘,不接受,25年不要求，但可提交来增强申请,不接受,,Statement of Purpose；letters of recommendation；Transcripts；Resume/CV,https://ed.stanford.edu/admissions/application-reqs/programs,https://ed.stanford.edu/academics/masters
3,斯坦福大学,Stanford University,"Stanford, CA",生物医学数据科学,Biomedical Data Science,生物科学学院,Department of Biomedical Data Science,https://dbds.stanford.edu/,PhD,本项目统一通过生物科学博士项目申请,,$125 ,秋季,12月1日；12月3日,要求,100，低于109入学后需参加“English placement testing‘,不接受,不要求,不接受,,Statement of purpose；Letters of recommendation；Transcripts ；CV,https://biosciences.stanford.edu/how-to-apply/,https://biosciences.stanford.edu/program-overview/
3,斯坦福大学,Stanford University,"Stanford, CA",生物医学数据科学,Biomedical Data Science,生物科学学院,School of Medicine,https://med.stanford.edu,MS,学术(研究)硕士，为博士后提供nlm资助的职位;其他机构也可以申请，但不能保证得到DBDS的资助。,,$125 ,秋季,12月3日,要求,100，低于109入学后需参加“English placement testing‘,不接受,不要求,不接受,,Statement of purpose；Letters of recommendation；Transcripts ；CV,https://dbds.stanford.edu/for-prospective-students/,https://dbds.stanford.edu/biomedical-data-science-graduate-program-overview/
6,宾夕法尼亚大学,University of Pennsylvania,"Philadelphia, PA",城市空间分析,Master of Urban Spatial Analytics,设计学院,Stuart Weitzman School of Design,https://www.design.upenn.edu,MUSA,,1年,$80 ,秋季,1月11日,建议3.3,100，小分不低于25,7.0，小分不低于7.0,不要求,不接受,,Personal Statement；Letters of Recommendation；Résumé；Transcripts；Digital Portfolio；Writing Sample；Research Statement,https://www.design.upenn.edu/graduate-admissions/how-apply,https://www.design.upenn.edu/musa/about
