序号,大学英文名称,学位,专业英文名称,所属院系,Gemini最终毕业要求,处理状态,Gemini完整回答,原始回答1,原始回答2,原始回答3
1,Harvard University,MS,Data Science SEAS,约翰·保尔森工程与应用科学学院,"A capstone project or a master's thesis, and a project poster presentation are required.",SUCCESS,"A capstone project or a master's thesis, and a project poster presentation are required.","A Capstone research project or a master's thesis is required, along with a project poster presentation.",A capstone project or a master's thesis is required.,"A research experience, fulfilled by either a capstone project or a master's thesis, and a data science project poster presentation are required."
2,Harvard University,MS,Data Science,Harvard Extension School,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
3,Stanford University,MS,Data Science,工程学院,A capstone project is required as a practical component.,SUCCESS,A capstone project is required as a practical component.,A capstone project or practical component is required.,No additional graduation requirement.,A capstone project is required as a practical component.
4,Stanford University,MS,Data Science,人文科学学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=380, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=380)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2427, traffic_type=None) automatic_function_calling_history=[] parsed=None","A practical component is required, which can be fulfilled by a capstone project or other approved practical/research work.","A practical component, which can be a capstone project or other designated practical experience, is required.","A practical component of a capstone project is required, which can be fulfilled through various options including a capstone project, Master's Research, or specific practical courses/bootcamps."
5,Yale University,MS,Statistics and Data Science,艺术与科学研究生院,No additional graduation requirement,SUCCESS,No additional graduation requirement,No additional graduation requirement.,No additional graduation requirement.,
6,Yale University,PH.D.,Statistics and Data Science,艺术与科学研究生院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=374, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=374)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2421, traffic_type=None) automatic_function_calling_history=[] parsed=None","Qualifying exams, a practical exam or capstone project, an oral exam, a dissertation, and teaching requirements are mandatory.","The Yale University Ph.D. in Statistics and Data Science program requires qualifying exams (probability, theoretical statistics, oral, and practical/capstone), practical work resulting in a project/paper, and a dissertation.",Qualifying exams and dissertation required.
7,University of Pennsylvania,PHD,Statistics and Data Science ,商学院,"Qualifying evaluation, candidacy examination, and dissertation defense are required.",SUCCESS,"Qualifying evaluation, candidacy examination, and dissertation defense are required.","Qualifying evaluation, candidacy examination, and a dissertation defense/oral exam are required.","Qualifying evaluation, candidacy examination, and dissertation defense are required.","A qualifying evaluation, candidacy examination, and a dissertation defense are required."
8,University of Pennsylvania,MSE,Data Science,工程学院,Practicum or thesis with a report and presentation required.,SUCCESS,Practicum or thesis with a report and presentation required.,"The first URL is about ""How to Apply"" and does not contain information about graduation requirements. The second URL is for ""MSE in Data Science"" and has a ""Program of Study"" section. Under ""Program of Study"", it explicitly mentions ""DATS Practicum and Thesis Courses"" as an expandable menu. This suggests that a practicum or thesis might be a non-coursework requirement. I will browse this specific page to investigate further.
",Practicum or thesis with a report and presentation required.,Practicum or thesis with a report and presentation is required.
9,Duke University,MS,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,"Students can choose from a final exam, a project with a written report and oral presentation, or a thesis with a written thesis and oral defense.",SUCCESS,"Students can choose from a final exam, a project with a written report and oral presentation, or a thesis with a written thesis and oral defense.","Students can choose from a coursework-only option with a final exam, a project option with a written research report and oral presentation, or a thesis option with a written thesis and oral defense.","Final exam, project with oral presentation, or thesis with oral defense required.",
10,Duke University,Meng,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,Industry internship and ECE Master's Success Weekly Seminar are required.,SUCCESS,Industry internship and ECE Master's Success Weekly Seminar are required.,Industry internship and ECE Master's Success Weekly Seminar are required.,Industry internship and weekly seminar required.,Industry internship required.
11,Duke University,MS,Statistical Science（Data Science & Analytics ）,文理学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=381, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=381)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2428, traffic_type=None) automatic_function_calling_history=[] parsed=None","Master's thesis, Master's portfolio, or Master's capstone project are required.","Students are required to complete one of three options: a Master's Thesis, a Master's Portfolio, or a Master's Capstone, each culminating in an oral completion exam.","Master's thesis, Master's portfolio, or Master's capstone with an oral completion exam are required."
12,Duke University,MS,Interdisciplinary Data Science,文理学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
13,Duke University,MENG,Electrical and Computer Engineering,杜克昆山分校,An industry internship and a master of engineering project with assessment are required.,SUCCESS,An industry internship and a master of engineering project with assessment are required.,A capstone project or industry internship is required.,Not found,An industry internship and a master of engineering project with assessment are required.
14," 
Brown University",MS,Data Science,研究生院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
15,Northwestern University,MS,Master of Science in Machine Learning and Data Science,工程与应用科学学院,"A required summer internship, an 8-month practicum project, and a 10-week capstone project are required.",SUCCESS,"A required summer internship, an 8-month practicum project, and a 10-week capstone project are required.","Required summer internship, an 8-month practicum project, and a 10-week capstone project.","A required summer internship, an 8-month practicum project, and a 10-week capstone project are mandatory.","A required summer internship, an 8-month practicum project, and a 10-week capstone project are required."
16,Northwestern University,MS,Statistics and Data Science,文理学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,An optional MS thesis or an optional PhD-level qualifying exam is available.,The,The
17,Johns Hopkins University,MSE,Data Science,工程学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,The Data Science Master's program requires a Capstone Experience.,Capstone project required.
18,Johns Hopkins University,MSE,Data Science,工程学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
19,Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,"A doctoral dissertation, an Introductory Examination, a Ph.D. Candidacy Examination, a Graduate Board Oral Examination, and a teaching or research assistantship are required.",SUCCESS,"A doctoral dissertation, an Introductory Examination, a Ph.D. Candidacy Examination, a Graduate Board Oral Examination, and a teaching or research assistantship are required.",Not found,"A doctoral dissertation, an Introductory Examination, a Ph.D. Candidacy Examination, a Graduate Board Oral Examination, and a teaching or research assistantship are required.",The
20,Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=351, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=351)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2398, traffic_type=None) automatic_function_calling_history=[] parsed=None","A comprehensive exam, a research dissertation, and a public dissertation defense are required.",The,"Graduation requirements include an introductory exam, a graduate board oral exam, and a research dissertation. Students must also complete either a teaching assistant or research assistant assignment every semester."
21,Johns Hopkins University,MSEM,Master of Science in Global Innovation and Leadership：Technical Concentrations,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,Not found,Not found
22,Columbia University,MS,Data Science,工程与应用科学研究生学院,Capstone project required.,SUCCESS,Capstone project required.,A capstone project is required.,Capstone project required.,Capstone project required.
23,Columbia University,PhD,The PhD specialization in Data Science,工程与应用科学研究生学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement,No additional graduation requirement.
24,Columbia University,MS,Applied Analytics,School of Professional Studies,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,A Capstone course is required.,Capstone project required.
