大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,所属院系网址,招生网址,专业网址,valid_response_count,consistency_type,consistency_detail,response_1,response_1_valid,response_2,response_2_valid,response_3,response_3_valid
Massachusetts Institute of Technology,Meng,Civil and Environmental Engineering：Data Science for Engineering Systems (DSES) track,土木与环境工程系,Department of Civil and Environmental Engineering,https://cee.mit.edu,https://oge.mit.edu/programs/civil-and-environmental-engineering/,https://cee.mit.edu/education/graduate/graduate-degrees/,3,all_valid_same,All 3 valid responses are identical,"Department of Civil and Environmental Engineering, https://cee.mit.edu",True,"Department of Civil and Environmental Engineering, https://cee.mit.edu",True,"Department of Civil and Environmental Engineering, https://cee.mit.edu",True
Massachusetts Institute of Technology,PhD,Social and Engineering Systems," 
数据，系统和社会研究所",Institute for Data,https://idss.mit.edu,https://oge.mit.edu/programs/institute-for-data-systems-and-society/,https://idss.mit.edu/academics/ses_doc/,3,all_valid_different,"All valid responses are different, randomly selected","MIT Schwarzman College of Computing, https://computing.mit.edu",True,"Institute for Data, Systems, and Society, https://idss.mit.edu",True,"MIT Schwarzman College of Computing, https://computing.mit.edu/",True
Massachusetts Institute of Technology,MAS,"Data, Economics, and Development Policy",经济学系,Department of Economics,https://economics.mit.edu,https://oge.mit.edu/programs/data-economics-and-development-policy/,https://economics.mit.edu/academic-programs/masters-programs/masters-data-economics-and-design-policy-dedp,3,majority_valid_same,2 valid responses are identical,"Department of Economics, https://economics.mit.edu",True,"Department of Economics, https://economics.mit.edu",True,"Department of Economics, https://economics.mit.edu/",True
Harvard University,MPP,Master in Public Policy,哈佛大学肯尼迪学院,Harvard Kennedy School,https://www.hks.harvard.edu,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,3,all_valid_same,All 3 valid responses are identical,"Harvard Kennedy School, https://www.hks.harvard.edu",True,"Harvard Kennedy School, https://www.hks.harvard.edu",True,"Harvard Kennedy School, https://www.hks.harvard.edu",True
Harvard University,MPP / ID,Master in Public Administration in International Development,哈佛大学肯尼迪学院,Harvard Kennedy School,https://www.hks.harvard.edu,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,3,all_valid_same,All 3 valid responses are identical,"Harvard Kennedy School, https://www.hks.harvard.edu",True,"Harvard Kennedy School, https://www.hks.harvard.edu",True,"Harvard Kennedy School, https://www.hks.harvard.edu",True
Harvard University,MPP,Master in Public Administration,哈佛大学肯尼迪学院,Harvard Kennedy School,https://www.hks.harvard.edu,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,3,all_valid_same,All 3 valid responses are identical,"Harvard Kennedy School, https://www.hks.harvard.edu",True,"Harvard Kennedy School, https://www.hks.harvard.edu",True,"Harvard Kennedy School, https://www.hks.harvard.edu",True
Harvard University,MC/MPA,Mid-Career Master in Public Administration,哈佛大学肯尼迪学院,Harvard Kennedy School,https://www.hks.harvard.edu,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,3,all_valid_same,All 3 valid responses are identical,"Harvard Kennedy School, https://www.hks.harvard.edu",True,"Harvard Kennedy School, https://www.hks.harvard.edu",True,"Harvard Kennedy School, https://www.hks.harvard.edu",True
Stanford University,PhD,‌Education Data Science,教育学院,Graduate School of Education,https://ed.stanford.edu,https://ed.stanford.edu/admissions/application-reqs/programs,https://ed.stanford.edu/academics/doctoral,3,majority_valid_same,2 valid responses are identical,"Graduate School of Education, https://ed.stanford.edu",True,"Graduate School of Education, https://ed.stanford.edu",True,"Stanford Graduate School of Education, https://ed.stanford.edu/",True
Stanford University,MS,Education Data Science (MS),教育学院,Stanford Graduate School of Education,https://ed.stanford.edu/,https://ed.stanford.edu/admissions/application-reqs/programs,https://ed.stanford.edu/academics/masters,3,majority_valid_same,2 valid responses are identical,"Stanford Graduate School of Education, https://ed.stanford.edu/",True,"Stanford Graduate School of Education, https://ed.stanford.edu/",True,"Stanford Graduate School of Education, https://ed.stanford.edu",True
Stanford University,PhD,Biomedical Data Science,生物科学学院,Department of Biomedical Data Science,https://dbds.stanford.edu/,https://biosciences.stanford.edu/how-to-apply/,https://biosciences.stanford.edu/program-overview/,3,majority_valid_same,2 valid responses are identical,"Department of Biomedical Data Science, https://dbds.stanford.edu/",True,"Department of Biomedical Data Science, https://dbds.stanford.edu/",True,"School of Medicine, https://dbds.stanford.edu/",True
