大学英文名称,学位,专业英文名称,所属院系,招生网址,专业网址,所属院系英文名称,所属院系网址,response_1,response_2,response_3,response_1_valid,response_2_valid,response_3_valid,valid_response_count,selected_response,consistency_type,consistency_detail
Harvard University,MS,Data Science SEAS,约翰·保尔森工程与应用科学学院,https://seas.harvard.edu/masters-data-science/how-apply,https://seas.harvard.edu/masters-data-science,Harvard John A. Paulson School of Engineering and Applied Sciences,https://seas.harvard.edu,"Harvard John A. Paulson School of Engineering and Applied Sciences, https://seas.harvard.edu","Harvard John A. Paulson School of Engineering and Applied Sciences, https://seas.harvard.edu","Harvard John A. Paulson School of Engineering and Applied Sciences, https://seas.harvard.edu",True,True,True,3,"Harvard John A. Paulson School of Engineering and Applied Sciences, https://seas.harvard.edu",all_valid_same,All 3 valid responses are identical
Harvard University,MS,Data Science,Harvard Extension School,https://extension.harvard.edu/registration-admissions/degree-program-admissions/how-to-apply-to-a-graduate-degree-program/,https://extension.harvard.edu/academics/programs/data-science-graduate-program/,Harvard Extension School,https://extension.harvard.edu,"Harvard Extension School, https://extension.harvard.edu","Harvard Extension School, https://extension.harvard.edu","Harvard Extension School, https://extension.harvard.edu",True,True,True,3,"Harvard Extension School, https://extension.harvard.edu",all_valid_same,All 3 valid responses are identical
Stanford University,MS,Data Science,工程学院,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,School of Engineering,https://engineering.stanford.edu,"School of Engineering, https://engineering.stanford.edu","Stanford University School of Engineering, https://engineering.stanford.edu","School of Engineering, https://engineering.stanford.edu",True,True,True,3,"School of Engineering, https://engineering.stanford.edu",majority_valid_same,2 valid responses are identical
Stanford University,MS,Data Science,人文科学学院,https://statistics.stanford.edu/msadmissionsms/how-apply,https://statistics.stanford.edu/graduate-programs/statistics-ms/statistics-data-science-curriculum,School of Humanities and Sciences,https://humsci.stanford.edu/,"School of Humanities and Sciences, https://humsci.stanford.edu/","School of Humanities and Sciences, https://humsci.stanford.edu","School of Humanities and Sciences, https://humsci.stanford.edu/",True,True,True,3,"School of Humanities and Sciences, https://humsci.stanford.edu/",majority_valid_same,2 valid responses are identical
Yale University,MS,Statistics and Data Science,艺术与科学研究生院,https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/terminal-ma-program,Graduate School of Arts and Sciences,https://gsas.yale.edu,"Graduate School of Arts and Sciences, https://gsas.yale.edu","Graduate School of Arts and Sciences, https://gsas.yale.edu","Graduate School of Arts and Sciences, https://gsas.yale.edu",True,True,True,3,"Graduate School of Arts and Sciences, https://gsas.yale.edu",all_valid_same,All 3 valid responses are identical
Yale University,PH.D.,Statistics and Data Science,艺术与科学研究生院,https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/phd-program,Graduate School of Arts and Sciences,https://gsas.yale.edu,"Graduate School of Arts and Sciences, https://gsas.yale.edu/","Graduate School of Arts and Sciences, https://gsas.yale.edu","Graduate School of Arts and Sciences, https://gsas.yale.edu",True,True,True,3,"Graduate School of Arts and Sciences, https://gsas.yale.edu",majority_valid_same,2 valid responses are identical
University of Pennsylvania,PHD,Statistics and Data Science ,商学院,https://doctoral.wharton.upenn.edu/application-requirements/,https://doctoral.wharton.upenn.edu/statistics/,The Wharton School,https://www.wharton.upenn.edu,"The Wharton School, https://wharton.upenn.edu","The Wharton School, https://www.wharton.upenn.edu/","The Wharton School, https://www.wharton.upenn.edu",True,True,True,3,"The Wharton School, https://www.wharton.upenn.edu",all_valid_different,"All valid responses are different, randomly selected"
University of Pennsylvania,MSE,Data Science,工程学院,https://gradadm.seas.upenn.edu/how-to-apply/,https://dats.seas.upenn.edu/,School of Engineering and Applied Science,https://www.seas.upenn.edu/,"The content of both URLs clearly indicates ""Penn Engineering"" and ""School of Engineering and Applied Science"" at the University of Pennsylvania.
The Admissions URL () has ""Penn Engineering Graduate Admissions"" in its title and content. It also mentions ""University of Pennsylvania, Dept: SEAS Graduate Admissions (Engineering)"".
The Program URL () has ""Penn Engineering Logo"" and states ""School of Engineering & Applied Science University of Pennsylvania"" in its footer.

The school name is ""School of Engineering and Applied Science"".
From the URLs provided, the most authoritative homepage URL for this school appears to be within the `seas.upenn.edu` domain.

Let's check the base URL `https://www.seas.upenn.edu/` to confirm it's the main homepage for ""School of Engineering and Applied Science"".","School of Engineering and Applied Science, https://www.seas.upenn.edu","School of Engineering and Applied Science, https://www.seas.upenn.edu/",False,True,True,2,"School of Engineering and Applied Science, https://www.seas.upenn.edu/",all_valid_different,"All valid responses are different, randomly selected"
Duke University,MS,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,https://gradschool.duke.edu/academics/programs-degrees/electrical-and-computer-engineering-ms/,https://ece.duke.edu/academics/masters/ms/,Pratt School of Engineering,https://pratt.duke.edu,"Pratt School of Engineering, https://pratt.duke.edu/","Duke Pratt School of Engineering, https://pratt.duke.edu","Pratt School of Engineering, https://pratt.duke.edu",True,True,True,3,"Pratt School of Engineering, https://pratt.duke.edu",all_valid_different,"All valid responses are different, randomly selected"
Duke University,Meng,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,https://masters.pratt.duke.edu/apply/requirements/,https://ece.duke.edu/academics/masters/meng/,Pratt School of Engineering,https://pratt.duke.edu,"Pratt School of Engineering, https://pratt.duke.edu","Duke Pratt School of Engineering, https://pratt.duke.edu/","Duke Pratt School of Engineering, https://pratt.duke.edu",True,True,True,3,"Pratt School of Engineering, https://pratt.duke.edu",all_valid_different,"All valid responses are different, randomly selected"
