大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,更多项目信息
Princeton University,Ph.D. ,Applied and Computational Mathematics,应用与计算数学,Graduate School,https://gradschool.princeton.edu/academics/degrees-requirements/fields-study/applied-and-computational-math,https://www.pacm.princeton.edu/graduate,https://gradschool.princeton.edu,"• Six core research areas: analysis, numerical methods, discrete math, mechanics, optimization, and stochastic modeling.
• Extensive interdisciplinary faculty from diverse departments like Computer Science, Engineering, Physics, and Biology.
• Dissertation research focused on mathematical contributions or method development for science and engineering applications.
• Cross-listed graduate courses across various engineering, science, and mathematics departments for broad study.
"
Princeton University,Ph.D. ,Mathematics,数学系,Graduate School,https://gradschool.princeton.edu/academics/degrees-requirements/fields-study/mathematics,https://www.math.princeton.edu/graduate,https://gradschool.princeton.edu,"• Early research focus with independent study emphasized from the start of the Ph.D. program.
• Strong scholarly relationship and access to seminars at the nearby Institute for Advanced Study.
• Diverse seminar offerings, including faculty-led ""What's Happening in Fine Hall"" and student-organized sessions.
• Interdisciplinary faculty links across Computer Science, Philosophy, and Operations Research and Financial Engineering.
• Graduates successfully launch into academic positions at premier mathematical institutions and industry."
Massachusetts Institute of Technology,PhD,Mathematics,数学系,Department of Mathematics,https://oge.mit.edu/programs/mathematics/,https://math.mit.edu/academics/grad/index.html,https://math.mit.edu,"• Diverse research areas: pure mathematics (algebra, analysis, topology) and applied mathematics (computational biology, data science, scientific computation).
• Strong interdisciplinary programs: Computational Science and Engineering, and Interdisciplinary Doctoral Program in Statistics (IDPS).
• Guaranteed five-year financial support: full tuition, stipend, and health coverage, with first-year fellowships.
• Dynamic research environment: faculty supervision, extensive seminars, and colloquia at MIT and within the Boston area."
Massachusetts Institute of Technology,ScD,Mathematics,数学系,Department of Mathematics,https://oge.mit.edu/programs/mathematics/,https://math.mit.edu/academics/grad/index.html,https://math.mit.edu,"• Broad research specializations: encompassing pure and applied mathematics, including data, theoretical computer science, and computational biology.
• Diverse interdisciplinary opportunities: with formal programs in Computational Science and Engineering and Doctoral Statistics.
• Comprehensive five-year funding: guaranteed full tuition, stipend, and health coverage via fellowships and assistantships.
• First-year fellowship: all students receive full fellowship support, exempting them from teaching duties."
Harvard University,PhD,Applied Mathematics SEAS,约翰·保尔森工程与应用科学学院,Harvard John A. Paulson School of Engineering and Applied Sciences,https://seas.harvard.edu/applied-mathematics/graduate-program/how-apply,https://seas.harvard.edu/applied-mathematics/phd-applied-mathematics,https://seas.harvard.edu,"• Interdisciplinary problem-solving: Fusion of AI, classical/quantum computing, and mathematics across physical, biomedical, social sciences, and humanities.
• Broad research applications: Collaborations with diverse fields including physics, neuroscience, materials science, economics, and fluid mechanics.
• Individualized academic programs: Tailored study paths designed to match student interests, needs, and backgrounds.
• Diverse career outcomes: Graduates secure leadership positions in academia, industry, startups, and government research.
"
Harvard University,PhD,Mathematics,文理研究生院,The Harvard Kenneth C. Griffin Graduate School of Arts and Sciences,https://gsas.harvard.edu/program/mathematics,https://www.math.harvard.edu/graduate/,https://gsas.harvard.edu,"• Program designed for original mathematical research, aiming to produce research mathematicians.
• Access to the Center of Mathematical Sciences and Applications, hosting diverse conferences and seminars.
• Strong career outcomes, including prestigious postdoctoral fellowships and industry positions.
• Located in Cambridge, a vibrant global center for mathematics with numerous academic institutions."
Stanford University,PhD,Computational and Mathematical Engineering ,工程学院,School of Engineering,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-doctor-philosophy,https://engineering.stanford.edu/,"• Diverse research immersion: statistics, data science, machine learning, control, optimization, numerical analysis, high-performance computing.
• Interdisciplinary faculty mentorship: over 50 faculty from 20+ departments advise PhD students across various fields.
• Core computational mathematics: matrix computations, optimization, stochastics, discrete mathematics, and PDEs.
• Strong career outcomes: graduates secure positions in industry, national laboratories, and academia.
• Key academic interests: computational finance, graph models, PDEs, statistical inference, stochastic modeling."
Stanford University,MS,Computational and Mathematical Engineering ,工程学院,School of Engineering,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,https://engineering.stanford.edu,"• Multiple specialized MS tracks: General, Data Science, Imaging Sciences, and Mathematical & Computational Finance.
• Robust curriculum: Strong coursework in mathematical modeling, scientific computing, and advanced computational algorithms.
• Career-focused preparation: Equips students for professional careers in various industries or further doctoral studies.
• Financial industry readiness: MCF track prepares for roles like data scientists, quantitative strategists, and risk managers.
• Flexible study options: Part-time Honors Cooperative Program (HCP) and Coterminal MS for undergraduates available."
Stanford University,MS,Mathematical and Computational Finance,工程学院,Stanford University School of Engineering,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,https://engineering.stanford.edu/,"• Specialized Mathematical & Computational Finance track prepares for roles in quantitative strategy, risk management, and financial technology.
• Interdisciplinary curriculum blends applied mathematics, statistics, computational methods, and financial applications.
• Graduates pursue roles as data scientists, quantitative researchers, and engineers at top financial and technology firms.
• Part-time study option available through the Honors Cooperative Program via Stanford Center for Professional Development.
• Curriculum emphasizes mathematical modeling, scientific computing, and advanced algorithms, with opportunities for research.
"
Stanford University,PhD,Mathematics ,人文科学学院,School of Humanities and Sciences,https://mathematics.stanford.edu/academics/graduate-admissions,https://mathematics.stanford.edu/academics/graduate-students/phd-program,https://humsci.stanford.edu/,"• Broad research focus encompassing pure and applied mathematics, with qualifying exams in areas like algebra, real analysis, geometry/topology.
• Five years of comprehensive funding provided for PhD students through department fellowships, teaching, or research assistantships.
• Structured academic progression requires 27 graduate course units and a dissertation advisor by the second year.
• Active engagement encouraged through participation and leadership in specialized seminars and colloquia."
Yale University,Ph.D,Applied Mathematics,艺术与科学研究生院,Graduate School of Arts and Sciences,https://gsas.yale.edu/programs-of-study/applied-mathematics,https://applied.math.yale.edu/graduate-program-0,https://gsas.yale.edu,"• Core research areas include high-dimensional data analysis, computational biology, mathematical physics, and randomized algorithms.
• Interdisciplinary program integrating mathematics with computer science, statistics, engineering, and physical/medical sciences.
• Fully-funded Ph.D. program provides a twelve-month stipend, full tuition, and student healthcare.
• Diverse faculty expertise drawn from multiple departments, including Computer Science, Economics, and Statistics & Data Science."
Yale University,PH.D.,Mathematics,艺术与科学研究生院,Graduate School of Arts and Sciences,https://gsas.yale.edu/programs-of-study/mathematics,https://math.yale.edu/graduate-programs,https://gsas.yale.edu,"The browsing results provide a good overview of the Yale Mathematics Ph.D. program.

From the content:
- **Main research areas**: Fields include real analysis, complex analysis, functional analysis, classical and modern harmonic analysis; linear and nonlinear partial differential equations; dynamical systems and ergodic theory; probability; low"
University of Pennsylvania,MA,Applied Math and Computational Science,文理学院,School of Arts and Sciences,https://amcs.upenn.edu/admission/,https://amcs.upenn.edu/masters-program/,https://www.sas.upenn.edu,"• Flexible completion options: a 10-course curriculum or an 8-course program with a Master's thesis.
• Foundational coursework in Analysis, Numerical Analysis/Linear Algebra, and Probability/Stochastic Processes for a robust mathematical background.
• Faculty-mentored research opportunities encourage student engagement, potentially culminating in a Master's thesis.
• Strong preparation for doctoral programs in Applied Mathematics, Statistics, Financial Mathematics, and related fields."
University of Pennsylvania,PHD,Applied Math and Computational Science,文理学院,School of Arts and Sciences,https://amcs.upenn.edu/admission/,https://amcs.upenn.edu/phd-program/,https://www.sas.upenn.edu,"• Interdisciplinary training: Advanced mathematics applied to empirical science, medicine, and engineering.
• Foundational curriculum: Core courses in Analysis, Numerical Analysis, and Probability/Stochastic Processes.
• Tailored research: Ten elective courses allow students to focus on individual research interests.
• Financial support: Four years of full-time Ph.D. study with provided financial support."
University of Pennsylvania,AM,Mathematics,文理学院,School of Arts and Sciences,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/program-description,https://www.sas.upenn.edu/,"• Diverse graduate curriculum: Includes core areas like algebra, analysis, geometry-topology, with interdisciplinary options.
• Masters thesis requirement: Focuses on advanced mathematical mastery, preparing for professional careers.
• Faculty expertise: Spans broad research areas including algebraic geometry, number theory, and mathematical physics.
• Doctoral pathway: Concurrent AM degree option for Penn Ph.D. students in mathematics and allied fields."
University of Pennsylvania,M.Phil,Mathematics,文理学院,School of Arts and Sciences,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/program-description,https://www.sas.upenn.edu,
University of Pennsylvania,phd+ms,Mathematics,文理学院,School of Arts and Sciences,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/csma,https://www.sas.upenn.edu,"• Mathematics Ph.D. offers broad research specializations: algebra, analysis, geometry-topology, combinatorics, logic, probability, and mathematical physics.
• Ph.D. program ensures five years of funding, including full tuition, stipend, health insurance, and two years with no teaching duties.
• Unique joint degree program for Math Ph.D. students to earn a Computer Science Master's (MSE/MCIT) within the standard five-year timeframe.
• Academic Master’s (A.M., M.Phil.) for well-rounded mathematical training, preparing for research, teaching, and advanced applications."
University of Pennsylvania,phd+ms,Mathematics,文理学院,School of Arts and Sciences,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/statma,https://www.sas.upenn.edu,"• Five-year Ph.D. funding package: full tuition, stipend, health insurance, and two years without teaching responsibilities.
• Diverse Ph.D. research specializations: algebra, analysis, geometry-topology, combinatorics, logic, probability, and mathematical physics.
• Master of Arts (A.M.) with thesis option, requiring eight graduate courses in core and elective areas.
• Joint Ph.D. and Statistics Master's program, enabling both degrees typically within the five-year Ph.D. timeframe.
• Interdisciplinary opportunities including courses across Penn and a separate Applied Mathematics and Computational Science program."
University of Pennsylvania,PHD,Mathematics,文理学院,School of Arts and Sciences,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/program-description#phd,https://www.sas.upenn.edu,"• Doctoral training across analysis, geometry-topology, algebra, mathematical physics, combinatorics, logic, and probability.
• Five-year financial support package, including fellowships, teaching assistantships, tuition, and health insurance.
• Strong emphasis on original research, culminating in a dissertation and active seminar participation.
• Required teaching assistant experience, with departmental training and mentoring for professional development.
• Interdisciplinary opportunities available via the Applied Mathematics and Computational Science (AMCS) program."
Duke University,PHD,Mathematics,文理学院,The Graduate School,https://gradschool.duke.edu/academics/programs-degrees/mathematics/,https://math.duke.edu/graduate,https://gradschool.duke.edu,"• Extensive research areas, including mathematical biology and high-dimensional data analysis.
• Strong interdisciplinary collaborations with medicine, engineering, physics, statistical science, and computer science.
• Unique research-level mini-courses on emerging topics and new approaches in mathematics.
• Robust professional development, including internships and career support via Erdos Institute and BIG Math Network.
• Full financial aid provided to 100% of admitted Ph.D. students.
"
California Institute of Technology,PHD,Applied and Computational Mathematics,工程与应用科学学部,Division of Engineering and Applied Science,https://www.cms.caltech.edu/academics/grad,https://www.cms.caltech.edu/academics/grad/grad_acm,https://eas.caltech.edu,"• Broad research spectrum: Nonlinear dynamics, computational biology, numerical analysis, fluid mechanics, materials science, and image processing, with emphasis on computational methods.
• Interdisciplinary focus: Combines fundamental mathematics with deep involvement in application fields like physics, biology, and engineering.
• Comprehensive career preparation: Equips students for roles in academia, national laboratories, and diverse industries.
• Generous financial support: Admitted students typically receive full tuition and living stipends through fellowships or assistantships."
California Institute of Technology,PHD,Computing + Mathematical Sciences,工程与应用科学学部,Division of Engineering and Applied Science,https://www.cms.caltech.edu/academics/grad,https://www.cms.caltech.edu/academics/grad/grad_cms,https://eas.caltech.edu,"• Unique, multidisciplinary PhD program integrating computer science, applied math, economics, operations research, and physical sciences.
• Focus on an ""information science core"" including algorithms, machine learning, optimization, and statistics for emerging fields.
• Broad faculty advising available from over 30 specialists across diverse engineering and science disciplines.
• Comprehensive financial support package provided to admitted PhD students, covering tuition and living stipend."
California Institute of Technology,PHD,Mathematics,物理，数学和天文学系,The Division of Physics,https://www.pma.caltech.edu/admissions-and-financial-support,https://www.pma.caltech.edu/research-and-academics/mathematics/math-graduate-studies,https://www.pma.caltech.edu,"• Diverse research areas spanning mathematical physics, geometry, topology, algebra, and number theory.
• Faculty excellence evidenced by renowned insights, top honors, and foundational texts in mathematical analysis.
• Guaranteed 5-year financial support covering full tuition and monthly stipend for all admitted students.
• Program prepares graduates for research careers in academia, industry, or government sectors.
• Strong emphasis on interdisciplinary collaboration, solving complex problems across various fields."
Brown University,PHD,Applied Mathematics,研究生院,Graduate School,https://graduateprograms.brown.edu/graduate-program/applied-mathematics-phd,https://appliedmath.brown.edu/graduate,https://graduateprograms.brown.edu,"• Broad research spectrum: dynamical systems, PDEs, control theory, probability, numerical analysis, computational biology, statistics, and pattern theory.
• Extensive interdisciplinary collaborations: joint projects with departments including Computer Science, Engineering, Biology, and Medical School.
• Faculty research engagement: encompasses both applied/algorithmic problems and fundamental mathematical questions."
Brown University,PHD,Mathematics,研究生院,Graduate School,https://graduateprograms.brown.edu/graduate-program/mathematics-phd,https://www.brown.edu/academics/math/graduate,https://www.brown.edu/academics/gradschool/,"• Close faculty contact: Small enrollment (30-40 students) enables close faculty interaction and a strong sense of community.
• Diverse research areas: Core courses in analysis, algebra, topology, and geometry with active research in these fields.
• Extensive resources: Access to one of the finest mathematical collections and extensive computing facilities.
• Career flexibility: Prepares students for academic research or professional roles in industry and finance.
• High completion rate: Over 85% of admitted students successfully complete their Ph.D.
"
Northwestern University,MS,MS in Engineering Sciences and Applied Mathematics,工程与应用科学学院,McCormick School of Engineering and Applied Science,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/masters/admissions.html,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/masters/,https://www.mccormick.northwestern.edu,"The Master of Science in Applied Mathematics program at Northwestern University's Department of Engineering Sciences and Applied Mathematics (ESAM) is highly interdisciplinary, focusing on real-world applications through mathematical modeling, analysis, and computation. The program prepares students for careers as professional mathematicians in industrial environments.

Here are the key selling points:
• Interdisciplinary approach within an engineering school, fostering collaborations across departments and schools.
• Curriculum balancing classical mathematical methods with modern data-driven and computational techniques.
• Research focus on five application areas: biological systems, complex systems, fluids/materials, scientific computing, and ML/AI for science.
• Thesis option available, allowing replacement of two courses with research credit.
• Strong career support, including professional development, internship opportunities, and extensive career placement resources.
• Interdisciplinary program within an engineering school, fostering collaborations across departments and schools.
• Curriculum balancing classical mathematical methods with modern data-driven and computational techniques.
• Research focus on five application areas: biological systems, complex systems, fluids/materials, scientific computing, and ML/AI for science.
• Thesis option available, allowing replacement of two courses with research credit.
• Strong career support, including professional development, internship opportunities, and extensive career placement resources.
• Interdisciplinary program within an engineering school, fostering collaborations across departments and schools.
• Curriculum balancing classical mathematical methods with modern data-driven and computational techniques.
• Research focus on five application areas: biological systems, complex systems, fluids/materials, scientific computing, and ML/AI for science.
• Thesis option available, allowing replacement of two courses with research credit.
• Strong career support, including professional development, internship opportunities, and extensive career placement resources.
• Interdisciplinary program within an engineering school, fostering collaborations across departments and schools.
• Curriculum balancing classical mathematical methods with modern data-driven and computational techniques.
• Research focus on five application areas: biological systems, complex systems, fluids/materials, scientific computing, and ML/AI for science.
• Thesis option available, allowing replacement of two courses with research credit.
• Strong career support, including professional development, internship opportunities, and extensive career placement resources.
• Interdisciplinary program within an engineering school, fostering collaborations across departments and schools.
• Curriculum balancing classical mathematical methods with modern data-driven and computational techniques.
• Research focus on five application areas: biological systems, complex systems, fluids/materials, scientific computing, and ML/AI for science.
• Thesis option available, allowing replacement of two courses with research credit.
• Strong career support, including professional development, internship opportunities, and extensive career placement resources.

I will now refine these into 3-5 concise bullet points.

• Interdisciplinary approach within engineering, fostering collaborations across various departments and schools.
• Curriculum blends classical mathematical approaches with modern data-driven and computational techniques.
• Research in biological systems, complex systems, fluids/materials, scientific computing, and ML/AI for science.
• Thesis option allows replacement of two courses with dedicated research credit.
• Robust career support with professional development, internships, and extensive placement resources.
"
Northwestern University,PhD,Engineering Sciences and Applied Mathematics,工程与应用科学学院,McCormick School of Engineering and Applied Science,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/phd/admissions.html,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/phd/,https://www.mccormick.northwestern.edu,"• Highly interdisciplinary program fosters collaborations across engineering, arts, sciences, and medical schools.
• Diverse research areas include biological systems, complex systems, fluids, materials, and AI/ML for science.
• Extensive research partnerships with national labs and numerous university-affiliated centers and institutes.
• Comprehensive professional development, including conference participation, internships, and dedicated career services.
• Full financial support for nearly all PhD students, covering tuition, books, and living expenses."
Northwestern University,PhD,Mathematics,文理学院,Weinberg College of Arts and Sciences,https://www.math.northwestern.edu/graduate/application.html,https://www.math.northwestern.edu/graduate/,https://weinberg.northwestern.edu/,"• Extensive research strength across algebra, topology, differential equations, probability, dynamical systems, mathematical physics, and number theory.
• Internationally-renowned faculty provide individualized, expert attention due to low student-faculty ratio and small class sizes.
• Most graduates pursue academic postdoctoral research careers, supported by full stipend and health coverage throughout the program.
• PhD in Pure Mathematics, emphasizing broad interpretation and deep engagement, not suited for applied interests."
